source_id1,source_id2,R_chance,s[kau],d1[pc],d1_err[pc],d2[pc],d2_err[pc],absMagG1,absMagG2,M1[Msun],M2[Msun],mu1ra[mas/yr],mu1ra_err[mas/yr],mu1dec[mas/yr],mu1dec_err[mas/yr],mu2ra[mas/yr],mu2ra_err[mas/yr],mu2dec[mas/yr],mu2dec_err[mas/yr],RV1[km/s],RV1_err[km/s],RV2[km/s],RV2_err[km/s],gal_b[deg],ruwe1,ruwe2,bp_rp1,bp_rp2,RA1[deg],DEC1[deg],RA2[deg],DEC2[deg],e,e0,e1,A_G1[mag],A_G2[mag],vp[km/s],vp_err[km/s],vr[km/s],vr_err[km/s],v[km/s],v_err[km/s],vc[km/s],vp/vc,s/r_M,(v_sys/vc)*(s/d),flag
3123328736235979264,3123329496446379264,0.00011209332941174457,3.809092288443812,198.17874668798376,0.547319343875988,197.31799654820705,0.6549944073748787,5.276392354301774,7.308823038459449,0.9277195453616932,0.6715204418177659,-27.814232851437175,0.013253334,-16.692935944421826,0.012033722,-27.74207179939149,0.015540947,-16.31430299131346,0.014061923,47.310284,0.27519196,44.674957,2.666489,-6.206001085302627,0.95905185,1.012855,1.014904,1.6607542,95.56467341171228,0.6152449936647773,95.56038241437417,0.618422202948728,0.65,0.4413995555119429,0.8776637649496741,0.0247007088,0.0215070738,0.36145953929116253,0.01742233850498522,2.6353270000000037,2.682979253905081,2.6600002623070544,2.0952308864987814,0.6102882590268635,0.5922767379918609,0.4284815757107742,0.008424534544516728,P
3051178753163132544,3051178753163132160,3.512411079067957e-05,1.8923956878772983,153.87266083960154,0.5031024111790804,153.5603685497513,0.3923085706112801,7.062731651556657,7.972562591781982,0.6983499545379463,0.5893501261403922,19.773913825279084,0.021453781,5.7882906602418736,0.021325251,18.239044636369776,0.01648764,4.619393509835838,0.016801411,50.810333,8.08985,35.570755,1.9989501,-2.4074114683469046,1.5466064,1.1488439,1.662612,1.8956566,103.94129716602541,-7.3923129201994575,103.93963888418526,-7.389318545500957,0.59,0.35884210317843857,0.8676180309351894,0.0,0.0,1.4054735538633079,0.019735643685969747,15.239578000000002,8.34073366887902,15.304250831997404,7.828677729235886,0.7769450943125658,1.8089741014541814,0.23723134209653537,0.0034972488362053876,P
3051052756004023168,3051052756004024448,6.111117799283966e-05,1.9383934324027203,192.8309842128779,0.6871491072230836,191.47772776129398,0.7990091916183858,7.732865490859936,7.773638525117931,0.6209946690654518,0.615992772150606,-5.991382140494009,0.019477988,-40.540058337974365,0.017107321,-5.751171554673175,0.02238052,-40.99664794610341,0.019641433,-19.345465,2.4661057,-21.328459,3.076207,-2.8012076441086466,1.0770614,1.2187424,1.73981,2.0164013,103.94608970634586,-8.268070581051214,103.94475218118518,-8.270529237489365,0.66,0.5187852462651736,0.9077714694664436,0.0235370407,0.0226462184,0.4701928102541147,0.024491804650557218,1.982993999999998,3.9396224135959623,2.0379760751418683,2.5887476708252612,0.7524031804239832,0.6249213486699492,0.24792867645620018,0.002773607266383696,P
278371708221814144,278371746880569216,0.00043032058183910564,5.033304606615929,144.74746596902912,0.34786006388995144,144.91147532121997,0.5689778075377776,5.60941024821352,8.117295711039628,0.8783292905380895,0.5719153869433454,-8.672118371748056,0.018132692,24.039356116793776,0.016239204,-9.810013798096827,0.03258633,24.489580294539813,0.027002597,-69.78264,0.35346365,-71.06895,2.8178258,7.0220069412671045,0.9443375,1.0165652,1.0513229,1.9945545,68.89947105533743,57.91441531053904,68.91067228999728,57.90680674038108,0.88,0.7097719185606841,0.9892422818396923,0.0,0.0,0.8399288358053649,0.025095378078421604,1.2863100000000003,2.8379758744315464,1.5362531904986745,1.729354892043682,0.5055719557298515,1.6613438033619383,0.5945659735094797,0.024216398046996948,P
454555218072306816,454555222373745664,3.111667144166894e-12,0.277821446051827,64.59977962993086,0.07959622933377529,64.55649097839675,0.2000620678427276,6.9982804331235915,10.903296674373065,0.7060523155161949,0.26299011946567347,243.81482872179564,0.015386145,-93.49912744379961,0.02091787,241.0405286039731,0.03590057,-87.8508145737985,0.050586335,19.199724,0.30660367,23.805391,4.2066746,-3.0800217809892163,1.1375744,1.4460353,1.5505209,2.776143,42.02019601450699,56.18090054992657,42.018398400537755,56.18024777857995,0.44,0.16019438718416631,0.7157954861943013,0.0,0.0,1.9268723581023641,0.015941904284396752,-4.605667,4.21950720363328,4.9924949273192025,3.1409241225439146,1.7590470517564072,1.0954069455836235,0.04014780880145052,0.0009734517607007644,P
3358948889747958912,3358901851266448256,0.0025623282067741863,12.862187857964503,162.38410810955193,0.43043600465511245,161.73403103200036,0.35564993099227743,5.832952086744692,6.85483480307822,0.8490047847041562,0.7232148623603482,-4.355290141396245,0.016880637,-6.715262433608578,0.0147330295,-4.387295377370517,0.015556396,-6.722260513036409,0.013714954,18.523945,0.42131615,18.43992,1.3080884,4.618134646105969,1.0632312,0.91117346,1.0684977,1.4013281,99.2587990305218,17.08221134039136,99.26537176596854,17.061125204140552,0.8200000000000001,0.5315050624260564,0.9741685445661273,0.0,0.0,0.025158479836097144,0.017535078066387565,0.08402500000000046,1.3737817295224375,0.08771060216794424,0.8282448221199319,0.3292972680304995,0.07640051187356636,1.4592366079942978,0.022770969474500868,P
3046204180298475264,3046204150242468480,0.0005618446477454417,6.126783882256256,87.26905073172068,0.11206941215718874,87.16606316330416,0.11857760990559298,5.373826601231609,5.667692430264201,0.9104621815235486,0.8705851862151756,-72.30506843769876,0.015962189,29.420321522392012,0.016966209,-72.6346839266475,0.01570519,29.83148809828984,0.016645232,59.20122,0.35596916,59.242527,0.37476337,-1.7273395917018053,0.91357607,0.9138741,0.9130869,0.9751568,106.82155675599381,-11.436927525628523,106.8414527443047,-11.436768334233799,0.68,0.562050214510664,0.9298657838061696,0.0,0.0,0.21788272729730337,0.00960864482642444,-0.04130700000000331,0.5168596870087795,0.22176372810608894,0.2710764855233822,0.5078206963135509,0.4290544455533041,0.6530738641328555,0.045261153503510905,P
3046322828776118784,3046323584690360576,0.00036539829212767536,1.6859648764280435,71.98977334472674,0.08603814051738994,71.78305781211685,0.10325037719827534,4.515269313334715,9.802394500200954,1.0436615258629323,0.37366838016815374,-39.4972382580115,0.016343808,5.335021798224874,0.0153252,-40.56440225759165,0.02017541,4.79178589420885,0.018868769,26.575363,0.28988066,24.833937,3.247739,-0.5941016966737376,1.0578119,1.2330592,0.7916298,2.4844265,107.75093628055588,-10.734207721609764,107.74927705467111,-10.727909874157538,0.62,0.364833282994342,0.8628755378062709,0.0,0.0,0.4081677451395472,0.008737051642904038,1.7414260000000006,3.258440011476621,1.7886210950473285,2.1627230056385374,0.8635751891484674,0.47264876326753086,0.2014561475984628,0.0038374637278581285,P
5544759799411630848,5544759043497385600,1.8690522464079883e-07,0.3564222731521605,58.260722787915284,0.045239157070659605,58.02590434423295,0.25750896674360524,10.10341946412392,10.594454688954471,0.34114299347635163,0.2915791940652931,-49.04623185563506,0.015616257,-44.23197717982997,0.016541423,-47.29177592341096,0.08213254,-42.618903062338006,0.10207574,30.961847,1.7307686,34.565742,3.2227066,-0.8742827183741755,1.116438,6.0484567,2.5498486,2.9426699,122.9038095692495,-35.375208480936806,122.90572468347693,-35.37587888626549,0.5,0.3686066739073686,0.839837372339527,0.0,0.0,0.6581357201068869,0.025736524547191088,-3.6038950000000014,3.658307848281519,3.6634958437407326,2.8289793343963616,1.2549113766012685,0.52444796690691,0.06374201396558729,0.0008826028261093483,P
6154240741311257728,6154240741311258368,1.709434226337825e-05,1.0322377841771222,46.92447942099773,0.038405988241014224,46.82813309018097,0.048383042827004764,7.359104330083449,7.805536344310545,0.6629403376502593,0.6094405796493081,144.28487910460996,0.017161917,-37.096355501036264,0.011544795,144.42937048741018,0.02178458,-36.80280309065983,0.015172404,34.782154,0.16014583,34.14569,0.2660028,24.677912097032312,1.2195995,1.335908,1.6178732,1.7831945,193.64164868825205,-38.18972820848283,193.64837266536986,-38.18666099577019,0.87,0.6813158002081292,0.9842342065187826,0.0,0.0,0.07272147260044731,0.004675935523922197,0.6364639999999966,0.31067538884252793,0.6406050545173471,0.29615908115670186,1.045701280539367,0.06954325671566355,0.13017831803197882,0.004878698717020197,P
6151377578674752896,6151049133934677248,0.0015286427656902258,11.180035553268,68.3563857731816,0.16804390531599125,68.38181772194949,0.06587521938220753,3.831159013482699,5.734164630960941,1.1780669467973355,0.8618407242845056,-57.572477822610026,0.03304263,-19.541832741524352,0.031676527,-58.013822382938145,0.012545163,-19.51935549682236,0.011090622,-10.499146,0.12875123,-10.061435,0.19212593,24.186052828347023,1.0046644,0.88512313,0.66612244,1.0581608,185.28954493498276,-38.30280952426781,185.23280179363465,-38.31183633796952,0.98,0.7509089248387215,1.0,0.0,0.0,0.14324270362289476,0.011454928575114052,-0.4377110000000002,0.23119971521603844,0.4605533537628367,0.2029761550560854,0.40232091056403757,0.35604091127670773,1.1135389344325344,0.04391046760653826,P
2061688931804621184,2061688931804621824,8.851756794102165e-06,0.3708033520258445,24.46120392847827,0.008011870241442112,24.473922082610287,0.008971766385817122,5.79910313003413,9.769662676773262,0.8533824885535958,0.37728889990214903,37.84641168824387,0.012680958,118.09398155586771,0.014711983,43.43482199788538,0.014686054,116.09692261324183,0.016871445,-11.544583,0.12687793,-12.261329,0.47369823,2.5643328642632683,0.86264473,1.0535562,1.0436921,2.4135017,302.85487176817765,38.40066360735846,302.8573114619227,38.404415320430566,0.47000000000000003,0.22927899157603687,0.7799490167363338,0.0,0.0,0.6882987612451542,0.002292216224590637,0.7167460000000005,0.4908547377609723,0.9937202892401938,0.3168271826858807,1.7158849636623996,0.40113339519919994,0.047548856491882625,0.0007991980585674817,P
